# WebAssembly opcode dispatch table
# Generated by gen-dispatch.awk into dispatch_gen.c and dispatch_gen.h
#
# Format: prefix | sub-opcode | name | exec_template | validate_handler | params...
#   prefix: - (main), fb (GC), fc (misc), fd (SIMD)
#   exec_template: CUSTOM means hand-written execute handler (name in params)
#   Template params use ; as separator (| is the field delimiter)
#   Templates: I32_BIN, I32_UN, I64_BIN, I64_UN, I64_CMP, I64_TEST,
#     F32_BIN, F32_UN, F32_CMP, F64_BIN, F64_UN, F64_CMP,
#     I32_DIV_S, I32_DIV_U, I32_REM_S, I32_REM_U,
#     I64_DIV_S, I64_DIV_U, I64_REM_S, I64_REM_U,
#     F32_MIN, F32_MAX, F32_COPYSIGN, F64_MIN, F64_MAX, F64_COPYSIGN,
#     CONST_I32, CONST_I64, CONST_F32, CONST_F64,
#     CONV (conversion with params), SAT_TRUNC

# ---- Control flow ----
-|0x00|unreachable|CUSTOM|validate_op_unreachable|execute_op_unreachable
-|0x01|nop|CUSTOM|validate_op_nop|execute_op_nop
-|0x02|block|CUSTOM|validate_op_block|execute_op_block
-|0x03|loop|CUSTOM|validate_op_block|execute_op_block
-|0x04|if|CUSTOM|validate_op_block|execute_op_block
-|0x05|else|CUSTOM|validate_op_else|execute_op_else
-|0x08|throw|CUSTOM|validate_op_throw|execute_op_throw
-|0x0a|throw_ref|CUSTOM|validate_op_throw_ref|execute_op_throw_ref
-|0x0b|end|CUSTOM|validate_op_end|execute_op_end
-|0x0c|br|CUSTOM|validate_op_br|execute_op_branch
-|0x0d|br_if|CUSTOM|validate_op_br|execute_op_branch
-|0x0e|br_table|CUSTOM|validate_op_br_table|execute_op_branch
-|0x0f|return|CUSTOM|validate_op_return|execute_op_return
-|0x10|call|CUSTOM|validate_op_call|execute_op_call
-|0x11|call_indirect|CUSTOM|validate_op_call_indirect|execute_op_call_indirect
-|0x12|return_call|CUSTOM|validate_op_call|execute_op_call
-|0x13|return_call_indirect|CUSTOM|validate_op_call_indirect|execute_op_call_indirect
-|0x14|call_ref|CUSTOM|validate_op_call_ref|execute_op_call_ref
-|0x15|return_call_ref|CUSTOM|validate_op_call_ref|execute_op_call_ref

# ---- Parametric ----
-|0x1a|drop|CUSTOM|validate_op_drop|execute_op_drop
-|0x1b|select|CUSTOM|validate_op_select|execute_op_select

# ---- Exception handling ----
-|0x1f|try_table|CUSTOM|validate_op_block|execute_op_block

# ---- Variables ----
-|0x20|local_get|CUSTOM|validate_op_local_get|execute_op_local_get
-|0x21|local_set|CUSTOM|validate_op_local_set|execute_op_local_set
-|0x22|local_tee|CUSTOM|validate_op_local_set|execute_op_local_set
-|0x23|global_get|CUSTOM|validate_op_global_get|execute_op_global
-|0x24|global_set|CUSTOM|validate_op_global_set|execute_op_global

# ---- Table ----
